,DS-1_small_scale/bridge-3.h5,DS-1_small_scale/bridge-7.h5,DS-1_small_scale Mean,DS-2_middle_scale/cb6.h5,DS-2_middle_scale/cb9.h5,DS-2_middle_scale Mean,DS-3_large_scale/HB-15-1.h5,DS-3_large_scale/HB-15-2.h5,DS-3_large_scale/HB-20-1.h5,DS-3_large_scale/HB-20-2.h5,DS-3_large_scale/HB-8.h5,DS-3_large_scale Mean,Overall Average
mIoU,93.60,94.46,94.02,97.14,96.00,96.58,92.32,93.33,89.63,92.12,93.10,92.49,94.36
OA,97.22,97.65,97.43,98.62,98.14,98.39,96.37,96.61,95.11,96.64,96.48,96.36,97.39
mAcc,96.97,97.26,97.11,98.45,98.16,98.31,95.78,96.21,94.50,95.85,96.55,96.02,97.15
Precision,97.31,97.70,97.46,98.64,98.16,98.40,96.45,96.70,95.12,96.65,96.49,96.37,97.41
Recall,97.22,97.65,97.43,98.62,98.14,98.39,96.37,96.61,95.11,96.64,96.48,96.36,97.39
F1 Score,97.26,97.67,97.44,98.63,98.15,98.40,96.41,96.65,95.11,96.64,96.48,96.37,97.40
IoU_Background,88.04,89.32,,96.20,93.71,,90.59,93.42,86.87,86.98,93.64,,
IoU_Abutment/Pier,90.40,94.18,,98.92,98.76,,91.13,93.84,92.12,93.20,95.21,,
IoU_Deck,97.90,96.64,,95.64,94.70,,94.89,94.71,91.45,95.97,92.64,,
IoU_Girder,92.89,92.93,,97.75,96.75,,89.64,90.33,83.80,88.15,89.52,,
IoU_Parapet,98.75,99.22,,97.19,96.09,,95.33,94.37,93.91,96.32,94.47,,
